,JOIN,doubleheader,temperature_fahrenheit,season_game_number,days_since_last_game,pitches_p,ba_p,iso_p,babip_p,slg_p,woba_p,xwoba_p,xba_p,hits_p,abs_p,launch_speed_p,launch_angle_p,spin_rate_p,velocity_p,effective_speed_p,whiffs_p,swings_p,takes_p,eff_min_vel_p,release_extension_p,pitcher_run_exp_p,run_exp_p,pitches_h,ba_h,iso_h,babip_h,slg_h,woba_h,xwoba_h,xba_h,hits_h,abs_h,launch_speed_h,launch_angle_h,spin_rate_h,velocity_h,effective_speed_h,whiffs_h,swings_h,takes_h,eff_min_vel_h,release_extension_h,pitcher_run_exp_h,run_exp_h,duration,score,opp_score,opp_ScoreLine,winLoss_numeric
631,45038TEXDH0,0,74,20,1.0,144,0.226,0.161,0.273,0.387,0.302,0.27,0.198,7,31,87.7,16.0,2289,89.8,89.81,21,77,67,0.0,6.48,0.8,-0.8,197,0.429,0.381,0.438,0.81,0.549,0.444,0.321,18,42,94.1,11.2,1765,86.2,86.04,14,83,114,-0.2,6.28,-12.6,12.6,165,18,3,200000010,1
632,45039KCDH0,0,76,22,1.0,121,0.226,0.355,0.19,0.581,0.332,0.328,0.238,7,31,91.5,19.9,2345,86.4,86.73,14,60,61,0.2999999999999971,6.67,0.1,-0.1,126,0.242,0.273,0.238,0.515,0.338,0.317,0.248,8,33,91.2,27.5,2115,88.4,87.46,23,64,62,-0.9,5.85,1.0,-1.0,131,3,4,10000300x,0
633,45039LAADH0,0,76,22,1.0,126,0.242,0.273,0.238,0.515,0.338,0.317,0.248,8,33,91.2,27.5,2115,88.4,87.46,23,64,62,-0.9,5.85,1.0,-1.0,121,0.226,0.355,0.19,0.581,0.332,0.328,0.238,7,31,91.5,19.9,2345,86.4,86.73,14,60,61,0.2999999999999971,6.67,0.1,-0.1,131,4,3,100001100,1
634,45039ATLDH0,0,64,22,1.0,172,0.273,0.03,0.409,0.303,0.321,0.299,0.234,9,33,83.0,1.6,2210,87.6,81.5,23,92,80,-6.1,6.28,-1.6,1.6,143,0.103,0.172,0.133,0.276,0.221,0.258,0.172,3,29,89.5,23.6,2445,86.4,73.82,29,77,66,-12.6,6.23,3.0,-3.0,172,2,5,000000023,0
635,45039HOUDH0,0,64,22,1.0,143,0.103,0.172,0.133,0.276,0.221,0.258,0.172,3,29,89.5,23.6,2445,86.4,73.82,29,77,66,-12.6,6.23,3.0,-3.0,172,0.273,0.03,0.409,0.303,0.321,0.299,0.234,9,33,83.0,1.6,2210,87.6,81.5,23,92,80,-6.1,6.28,-1.6,1.6,172,5,2,000011000,1
636,45039BALDH0,0,64,21,1.0,160,0.206,0.029,0.304,0.235,0.239,0.337,0.292,7,34,92.2,12.3,2170,89.1,89.88,15,71,89,0.8000000000000114,6.81,4.9,-4.9,137,0.1,0.033,0.143,0.133,0.12,0.185,0.169,3,30,81.1,-0.8,2091,88.8,89.08,21,61,76,0.2999999999999971,6.44,3.4,-3.4,164,2,1,0000000100,1
637,45039DETDH0,0,64,20,1.0,137,0.1,0.033,0.143,0.133,0.12,0.185,0.169,3,30,81.1,-0.8,2091,88.8,89.08,21,61,76,0.2999999999999971,6.44,3.4,-3.4,160,0.206,0.029,0.304,0.235,0.239,0.337,0.292,7,34,92.2,12.3,2170,89.1,89.88,15,71,89,0.8000000000000114,6.81,4.9,-4.9,164,1,2,0000000101,0
638,45039CINDH0,0,47,22,1.0,141,0.207,0.069,0.333,0.276,0.267,0.326,0.24,6,29,89.2,13.9,2162,91.9,92.3,24,68,73,0.3999999999999915,6.64,2.5,-2.5,133,0.129,0.032,0.222,0.161,0.16,0.169,0.119,4,31,83.8,11.2,2332,88.3,88.95,20,64,69,0.6000000000000085,6.69,4.7,-4.7,140,0,2,10000001x,0
639,45039PITDH0,0,47,23,1.0,133,0.129,0.032,0.222,0.161,0.16,0.169,0.119,4,31,83.8,11.2,2332,88.3,88.95,20,64,69,0.6000000000000085,6.69,4.7,-4.7,141,0.207,0.069,0.333,0.276,0.267,0.326,0.24,6,29,89.2,13.9,2162,91.9,92.3,24,68,73,0.3999999999999915,6.64,2.5,-2.5,140,2,0,000000000,1
640,45039CLEDH0,0,46,22,1.0,130,0.235,0.206,0.286,0.441,0.307,0.358,0.276,8,34,92.4,11.4,2002,88.8,89.31,20,71,59,0.5,6.54,0.6,-0.6,166,0.351,0.297,0.393,0.649,0.422,0.348,0.275,13,37,89.6,17.2,2210,90.4,90.06,17,83,83,-0.3,6.06,-2.2,2.2,147,7,4,001000030,1
641,45039MIADH0,0,46,22,1.0,166,0.351,0.297,0.393,0.649,0.422,0.348,0.275,13,37,89.6,17.2,2210,90.4,90.06,17,83,83,-0.3,6.06,-2.2,2.2,130,0.235,0.206,0.286,0.441,0.307,0.358,0.276,8,34,92.4,11.4,2002,88.8,89.31,20,71,59,0.5,6.54,0.6,-0.6,147,4,7,00301021x,0
642,45039CHCDH0,0,42,21,1.0,154,0.229,0.314,0.227,0.543,0.348,0.388,0.282,8,35,88.7,10.5,2444,88.8,83.66,17,63,91,-5.1,5.99,-2.0,2.0,136,0.182,0.121,0.2,0.303,0.233,0.326,0.274,6,33,88.7,17.3,2350,87.6,87.42,17,64,72,-0.2,6.29,0.9,-0.9,142,3,7,002003002,0
643,45039LADDH0,0,42,23,1.0,136,0.182,0.121,0.2,0.303,0.233,0.326,0.274,6,33,88.7,17.3,2350,87.6,87.42,17,64,72,-0.2,6.29,0.9,-0.9,154,0.229,0.314,0.227,0.543,0.348,0.388,0.282,8,35,88.7,10.5,2444,88.8,83.66,17,63,91,-5.1,5.99,-2.0,2.0,142,7,3,200010000,1
644,45039BOSDH0,0,61,23,1.0,155,0.207,0.241,0.2,0.448,0.335,0.336,0.229,6,29,85.5,-2.8,2194,91.2,91.15,19,68,87,0.0,6.44,0.4,-0.4,181,0.361,0.306,0.385,0.667,0.455,0.421,0.317,13,36,83.8,15.0,2395,90.2,90.46,20,71,110,0.2999999999999971,6.51,-6.6,6.6,182,12,5,000120110,1
645,45039MILDH0,0,61,22,1.0,181,0.361,0.306,0.385,0.667,0.455,0.421,0.317,13,36,83.8,15.0,2395,90.2,90.46,20,71,110,0.2999999999999971,6.51,-6.6,6.6,155,0.207,0.241,0.2,0.448,0.335,0.336,0.229,6,29,85.5,-2.8,2194,91.2,91.15,19,68,87,0.0,6.44,0.4,-0.4,182,5,12,120000090,0
646,45039MINDH0,0,40,22,1.0,125,0.107,0.036,0.136,0.143,0.181,0.223,0.151,3,28,83.4,11.7,2183,86.6,87.87,12,63,62,1.3000000000000114,6.99,2.2,-2.2,128,0.273,0.182,0.292,0.455,0.341,0.402,0.337,9,33,88.4,14.3,2068,87.1,87.88,11,54,74,0.8000000000000114,6.82,1.0,-1.0,133,3,1,100000000,1
647,45039WSHDH0,0,40,21,1.0,128,0.273,0.182,0.292,0.455,0.341,0.402,0.337,9,33,88.4,14.3,2068,87.1,87.88,11,54,74,0.8000000000000114,6.82,1.0,-1.0,125,0.107,0.036,0.136,0.143,0.181,0.223,0.151,3,28,83.4,11.7,2183,86.6,87.87,12,63,62,1.3000000000000114,6.99,2.2,-2.2,133,1,3,00021000x,0
648,45039NYYDH0,0,62,22,1.0,138,0.176,0.265,0.19,0.441,0.289,0.287,0.211,6,34,91.5,7.0,2387,89.9,89.83,18,63,75,-0.1,6.26,0.5,-0.5,134,0.182,0.121,0.25,0.303,0.205,0.28,0.24,6,33,91.5,12.8,2023,87.5,87.81,20,72,62,0.2999999999999971,6.57,3.6,-3.6,143,1,5,000003101,0
